,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Player 1,Group 8,Group 3,Group 2,Group 17,Group 11,Group 2
Player 2,Group 1,Group 17,Group 17,Group 5,Group 19,Group 3
Player 3,Group 13,Group 1,Group 4,Group 18,Group 3,Group 9
Player 4,Group 16,Group 12,Group 9,Group 5,Group 11,Group 13
Player 5,Group 7,Group 4,Group 7,Group 8,Group 16,Group 15
Player 6,Group 4,Group 8,Group 16,Group 17,Group 6,Group 4
Player 7,Group 14,Group 13,Group 15,Group 14,Group 7,Group 1
Player 8,Group 4,Group 3,Group 10,Group 16,Group 12,Group 3
Player 9,Group 10,Group 10,Group 14,Group 15,Group 12,Group 2
Player 10,Group 19,Group 13,Group 4,Group 13,Group 11,Group 14
Player 11,Group 5,Group 3,Group 9,Group 12,Group 16,Group 1
Player 12,Group 14,Group 14,Group 4,Group 10,Group 2,Group 5
Player 13,Group 6,Group 2,Group 17,Group 3,Group 10,Group 13
Player 14,Group 15,Group 13,Group 8,Group 6,Group 1,Group 3
Player 15,Group 13,Group 16,Group 6,Group 11,Group 13,Group 1
Player 16,Group 3,Group 11,Group 19,Group 3,Group 13,Group 7
Player 17,Group 12,Group 3,Group 14,Group 1,Group 14,Group 14
Player 18,Group 3,Group 17,Group 3,Group 4,Group 15,Group 8
Player 19,Group 8,Group 9,Group 9,Group 1,Group 17,Group 6
Player 20,Group 1,Group 7,Group 14,Group 4,Group 1,Group 13
Player 21,Group 17,Group 15,Group 18,Group 7,Group 7,Group 8
Player 22,Group 17,Group 19,Group 17,Group 16,Group 17,Group 9
Player 23,Group 9,Group 12,Group 12,Group 18,Group 10,Group 11
Player 24,Group 4,Group 19,Group 18,Group 10,Group 3,Group 7
Player 25,Group 2,Group 6,Group 7,Group 4,Group 17,Group 18
Player 26,Group 5,Group 1,Group 6,Group 9,Group 4,Group 4
Player 27,Group 11,Group 15,Group 10,Group 19,Group 10,Group 14
Player 28,Group 3,Group 5,Group 13,Group 2,Group 12,Group 15
Player 29,Group 12,Group 7,Group 1,Group 19,Group 6,Group 15
Player 30,Group 10,Group 11,Group 4,Group 1,Group 1,Group 8
Player 31,Group 10,Group 12,Group 17,Group 6,Group 5,Group 16
Player 32,Group 16,Group 6,Group 11,Group 15,Group 6,Group 9
Player 33,Group 14,Group 11,Group 2,Group 7,Group 6,Group 10
Player 34,Group 5,Group 10,Group 12,Group 7,Group 1,Group 6
Player 35,Group 7,Group 7,Group 8,Group 16,Group 14,Group 2
Player 36,Group 1,Group 16,Group 5,Group 8,Group 9,Group 19
Player 37,Group 19,Group 4,Group 6,Group 3,Group 9,Group 12
Player 38,Group 10,Group 15,Group 5,Group 13,Group 4,Group 6
Player 39,Group 2,Group 14,Group 12,Group 16,Group 11,Group 19
Player 40,Group 4,Group 18,Group 19,Group 4,Group 8,Group 9
Player 41,Group 13,Group 8,Group 14,Group 2,Group 19,Group 5
Player 42,Group 6,Group 19,Group 11,Group 11,Group 8,Group 19
Player 43,Group 15,Group 18,Group 6,Group 19,Group 2,Group 18
Player 44,Group 11,Group 8,Group 8,Group 9,Group 15,Group 15
Player 45,Group 13,Group 9,Group 2,Group 12,Group 2,Group 16
Player 46,Group 5,Group 19,Group 19,Group 8,Group 2,Group 3
Player 47,Group 19,Group 2,Group 5,Group 10,Group 8,Group 17
Player 48,Group 17,Group 5,Group 16,Group 13,Group 13,Group 11
Player 49,Group 1,Group 1,Group 12,Group 19,Group 18,Group 12
Player 50,Group 7,Group 8,Group 11,Group 14,Group 17,Group 17
Player 51,Group 14,Group 6,Group 10,Group 6,Group 19,Group 4
Player 52,Group 12,Group 10,Group 3,Group 13,Group 9,Group 10
Player 53,Group 12,Group 17,Group 8,Group 17,Group 13,Group 12
Player 54,Group 2,Group 5,Group 10,Group 15,Group 14,Group 7
Player 55,Group 15,Group 14,Group 15,Group 5,Group 4,Group 12
Player 56,Group 11,Group 11,Group 15,Group 12,Group 9,Group 13
Player 57,Group 6,Group 1,Group 13,Group 14,Group 15,Group 16
Player 58,Group 17,Group 16,Group 13,Group 17,Group 5,Group 18
Player 59,Group 9,Group 10,Group 15,Group 10,Group 16,Group 8
Player 60,Group 16,Group 9,Group 3,Group 9,Group 7,Group 14
Player 61,Group 3,Group 18,Group 18,Group 14,Group 4,Group 10
Player 62,Group 18,Group 2,Group 11,Group 2,Group 7,Group 7
Player 63,Group 9,Group 15,Group 16,Group 1,Group 15,Group 18
Player 64,Group 2,Group 13,Group 16,Group 11,Group 5,Group 5
Player 65,Group 15,Group 4,Group 13,Group 7,Group 8,Group 2
Player 66,Group 8,Group 4,Group 5,Group 2,Group 10,Group 1
Player 67,Group 19,Group 7,Group 19,Group 18,Group 16,Group 4
Player 68,Group 18,Group 6,Group 9,Group 18,Group 18,Group 10
Player 69,Group 7,Group 2,Group 2,Group 9,Group 12,Group 19
Player 70,Group 11,Group 12,Group 1,Group 8,Group 18,Group 17
Player 71,Group 18,Group 16,Group 1,Group 3,Group 19,Group 6
Player 72,Group 6,Group 18,Group 3,Group 5,Group 3,Group 11
Player 73,Group 9,Group 9,Group 7,Group 15,Group 18,Group 5
Player 74,Group 8,Group 17,Group 18,Group 12,Group 5,Group 17
Player 75,Group 16,Group 5,Group 1,Group 11,Group 3,Group 16
Player 76,Group 18,Group 14,Group 7,Group 6,Group 14,Group 11
